2021-06-04T16:29:25.114Z [AUDIT] Token created by 'anonymous': tokenId='6d2011dd-438b-483f-ab53-faf1a961a898', issuer='jfrou@01f7bxpwt3bxgstp75wx9ybgem', subject='jfrou@01f7bxpwt3bxgstp75wx9ybgem', expiry=none, refreshable=false
2021-06-04T17:10:35.292Z [AUDIT] Token created by 'jffe@000': tokenId='d26bd02f-7467-4f1f-9117-db65c2dada14', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827235292, refreshable=false
2021-06-04T17:10:35.296Z [AUDIT] Token created by 'jffe@000': tokenId='5821db67-ede1-4086-9544-cdeded9dc922', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827235296, refreshable=false
2021-06-04T17:10:35.297Z [AUDIT] Token created by 'jffe@000': tokenId='2d83d7e1-9606-409f-9bd8-83f08048a36d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827235296, refreshable=false
2021-06-04T17:20:35.491Z [AUDIT] Token created by 'jffe@000': tokenId='f0eb737f-7681-4f3f-8997-00ab46eb1b63', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827835490, refreshable=false
2021-06-04T17:20:35.491Z [AUDIT] Token created by 'jffe@000': tokenId='152d6bfe-4f83-4cc5-9ffb-8f683e6966d3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827835490, refreshable=false
2021-06-04T17:20:35.500Z [AUDIT] Token created by 'jffe@000': tokenId='dc54f12b-c0b3-4976-a5cb-35df7e6a649c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827835499, refreshable=false
2021-06-04T17:30:35.548Z [AUDIT] Token created by 'jffe@000': tokenId='c6a9d94e-fb19-4a08-96d7-6597cd501263', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828435548, refreshable=false
2021-06-04T17:30:35.551Z [AUDIT] Token created by 'jffe@000': tokenId='a5ec2ece-c8a3-4573-9075-f4e957b9fe20', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828435551, refreshable=false
2021-06-04T17:30:35.552Z [AUDIT] Token created by 'jffe@000': tokenId='3b9ad6a1-446b-4320-8c9a-08d016be5cd8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828435552, refreshable=false
2021-06-04T17:32:54.450Z [AUDIT] Token created by 'jffe@000': tokenId='2b4cc8fe-0000-4a7b-a5ec-44f1e9518089', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622828574450, refreshable=false
2021-06-04T17:32:54.450Z [AUDIT] Token created by 'jffe@000': tokenId='c67f5318-aa4d-44ba-8dd1-6a03a5f1bbba', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622828574450, refreshable=false
2021-06-04T17:32:54.451Z [AUDIT] Token created by 'jffe@000': tokenId='56742a60-08a7-4145-8d5c-4bae99f5c49f', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622828574450, refreshable=false
2021-06-04T17:32:54.476Z [AUDIT] Token created by 'jffe@000': tokenId='05ab8a82-6f64-44f3-a3c8-3f6baa03e330', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622828574476, refreshable=false
2021-06-04T17:32:59.760Z [AUDIT] Token created by 'jffe@000': tokenId='c8ca4e90-303d-4921-ab20-2db02bd57ba2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829779758, refreshable=true
2021-06-04T17:32:59.909Z [AUDIT] Token created by 'jffe@000': tokenId='80a38846-2327-46a5-8529-ff6a0ea670ca', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828579909, refreshable=false
2021-06-04T17:32:59.913Z [AUDIT] Token created by 'jffe@000': tokenId='93f7ddd4-03c6-49f9-ae51-0bfe1d1f4efe', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828579913, refreshable=false
2021-06-04T17:32:59.913Z [AUDIT] Token created by 'jffe@000': tokenId='033d9735-87b3-4810-b704-ad9270b84319', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828579913, refreshable=false
2021-06-04T17:32:59.921Z [AUDIT] Token created by 'jffe@000': tokenId='80c44ae4-8874-4edc-b6fe-734d380079ff', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828579921, refreshable=false
2021-06-04T17:33:00.396Z [AUDIT] Token created by 'jffe@000': tokenId='5a571ba9-fe1d-41f0-ba89-7d852c849c21', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828580396, refreshable=false
2021-06-04T17:38:05.203Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='c8ca4e90-303d-4921-ab20-2db02bd57ba2', tokenId='9a72a73c-8da4-46c8-bb55-d9632de67f30', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830085196, refreshable=true
2021-06-04T17:39:45.565Z [AUDIT] Token revoked by 'jffe@000': tokenId='9a72a73c-8da4-46c8-bb55-d9632de67f30', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830085196, refreshable=true
